Ward Code,Ward Name ,Year,Total number of pupils,Pupils (free school meals),Free School Meals
E05010895,Cotham,2021,565,27,4.8
E05010896,Easton,2021,1785,436,24.4
E05010914,Southville,2021,1289,159,12.3
E05010915,Stockwood,2021,1511,314,20.8
,Bristol,2021,60006,15784,26.30403626
E05010890,Brislington East,2022,1538,392,25.5
E05010895,Cotham,2022,571,39,6.8
E05010898,Filwood,2022,3055,1461,47.8
E05010909,Redland,2022,2106,43,2
E05010887,Bedminster,2016,,143,11.67346939
E05010888,Bishopston & Ashley Down,2016,,58,3.861517976
E05010893,Clifton,2016,,51,9.289617486
E05010897,Eastville,2016,,370,19.70181044
E05010898,Filwood,2016,,1055,33.85750963
E05010901,Henbury & Brentry,2016,,452,26.57260435
E05010902,Hengrove & Whitchurch Park,2016,,398,17.60283061
E05010915,Stockwood,2016,,209,15.15591008
E05010888,Bishopston & Ashley Down,2017,1546,52,3.363518758
E05010889,Bishopsworth,2017,1674,221,13.20191159
E05010892,Central,2017,639,170,26.60406886
E05010896,Easton,2017,1834,337,18.37513631
E05010905,Hotwells & Harbourside,2017,211,32,15.16587678
E05010909,Redland,2017,2065,27,1.307506053
E05010886,Avonmouth & Lawrence Weston,2018,3531,759,21.4953271
E05010888,Bishopston & Ashley Down,2018,1611,57,3.538175047
E05010893,Clifton,2018,529,39,7.372400756
E05010896,Easton,2018,1792,307,17.13169643
E05010901,Henbury & Brentry,2018,1900,423,22.26315789
,Bristol,2018,58120,10597,18.23296628
E05010890,Brislington East,2019,1488,300,20.16129032
E05010893,Clifton,2019,535,40,7.476635514
E05010896,Easton,2019,1782,341,19.13580247
E05010897,Eastville,2019,1971,394,19.98985287
E05010910,St George Central,2019,1478,308,20.83897158
E05010913,Southmead,2019,2289,541,23.63477501
E05010889,Bishopsworth,2020,1792,299,16.68526786
E05010892,Central,2020,768,251,32.68229167
E05010916,Stoke Bishop,2020,1191,189,15.86901763
E05010910,St George Central,2021,1497,366,24.4
E05010912,St George West,2021,718,145,20.2
E05010917,Westbury-on-Trym & Henleaze,2021,2844,105,3.7
E05010901,Henbury & Brentry,2022,2071,675,32.6
E05010911,St George Troopers Hill,2022,378,79,20.9
E05010896,Easton,2016,,386,20.67487949
E05010911,St George Troopers Hill,2016,,45,13.88888889
E05010914,Southville,2016,,82,7.174103237
E05010886,Avonmouth & Lawrence Weston,2017,3447,761,22.07716855
E05010890,Brislington East,2017,1513,285,18.83674818
E05010891,Brislington West,2017,1311,155,11.82303585
E05010893,Clifton,2017,557,35,6.283662478
E05010895,Cotham,2017,595,16,2.68907563
E05010885,Ashley,2018,2457,478,19.45461945
E05010887,Bedminster,2018,1280,142,11.09375
E05010890,Brislington East,2018,1467,260,17.72324472
E05010894,Clifton Down,2018,382,15,3.926701571
E05010898,Filwood,2018,3137,959,30.57060886
E05010899,Frome Vale,2018,1262,261,20.681458
E05010900,Hartcliffe & Withywood,2018,4053,1511,37.2810264
E05010906,Knowle,2018,2221,370,16.65916254
E05010914,Southville,2018,1223,82,6.704824203
E05010917,Westbury-on-Trym & Henleaze,2018,2707,54,1.994828223
E05010887,Bedminster,2019,1297,141,10.87124133
E05010918,Windmill Hill,2019,1642,238,14.49451888
E05010887,Bedminster,2020,1294,168,12.98299845
E05010890,Brislington East,2020,1506,348,23.10756972
E05010904,Horfield,2020,1552,332,21.39175258
E05010907,Lawrence Hill,2020,3478,1344,38.64289822
,Bristol,2020,59797,13797,23.07306387
E05010897,Eastville,2021,2005,518,25.8
E05010903,Hillfields,2021,1743,487,27.9
E05010911,St George Troopers Hill,2021,364,75,20.6
E05010918,Windmill Hill,2021,1746,328,18.8
E05010902,Hengrove & Whitchurch Park,2022,2827,829,29.3
E05010905,Hotwells & Harbourside,2022,228,48,21.1
E05010890,Brislington East,2016,,305,20.79072938
E05010891,Brislington West,2016,,181,13.54790419
E05010892,Central,2016,,176,27.62951334
E05010894,Clifton Down,2016,,16,4.278074866
E05010906,Knowle,2016,,420,19.41747573
E05010887,Bedminster,2017,1222,125,10.22913257
E05010904,Horfield,2017,1450,239,16.48275862
E05010910,St George Central,2017,1486,282,18.97711978
E05010914,Southville,2017,1208,99,8.195364238
,Bristol,2017,57023,10926,19.16068955
E05010903,Hillfields,2018,1624,340,20.93596059
E05010888,Bishopston & Ashley Down,2019,1641,74,4.50944546
E05010891,Brislington West,2019,1327,194,14.61944235
E05010898,Filwood,2019,3126,1075,34.38899552
E05010900,Hartcliffe & Withywood,2019,4173,1615,38.70117422
E05010905,Hotwells & Harbourside,2019,223,36,16.14349776
E05010909,Redland,2019,2061,27,1.310043668
E05010911,St George Troopers Hill,2019,355,65,18.30985915
E05010912,St George West,2019,700,132,18.85714286
,Bristol,2019,59032,11983,20.29915978
E05010895,Cotham,2020,568,24,4.225352113
E05010897,Eastville,2020,1951,418,21.4249103
E05010901,Henbury & Brentry,2020,2055,566,27.54257908
