,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
24,Northern Ireland,N09000006,Fermanagh and Omagh,7640.0,7689.0,8089.0,8412.0,8659.0,9111.0,9911.0,10744.0,11540.0,12116.0,12281.0,12270.0,12311.0,12545.0,12937.0,13135.0,13385.0,13703.0,14633.0,15054.0,15433.0,15880.0,16403.0
27,Scotland,S12000033,Aberdeen City,10206.0,10396.0,10420.0,11207.0,11824.0,12344.0,12682.0,13717.0,14731.0,15538.0,16513.0,17316.0,17748.0,18118.0,18992.0,19710.0,20832.0,21286.0,21291.0,20388.0,20444.0,21140.0,21349.0
28,Scotland,S12000034,Aberdeenshire,11917.0,12084.0,11938.0,12817.0,13354.0,13785.0,13913.0,14751.0,15850.0,16513.0,17636.0,18568.0,18777.0,19255.0,20216.0,20922.0,22114.0,22558.0,22670.0,21432.0,21433.0,22116.0,22853.0
29,Scotland,S12000017,Highland,9636.0,9816.0,10075.0,10620.0,11152.0,11665.0,11854.0,12239.0,12639.0,13693.0,14241.0,15732.0,15960.0,16316.0,16353.0,17077.0,17707.0,17892.0,18579.0,18749.0,18992.0,19494.0,20049.0
30,Scotland,S12000020,Moray,7954.0,8088.0,8396.0,8754.0,9129.0,9438.0,9540.0,9822.0,10050.0,11069.0,12071.0,14235.0,14433.0,14838.0,14696.0,15499.0,15925.0,16244.0,16850.0,16977.0,17412.0,18662.0,19319.0
31,Scotland,S12000021,North Ayrshire,8324.0,8409.0,8535.0,9286.0,9878.0,10433.0,10716.0,11347.0,11712.0,12095.0,12861.0,13158.0,13396.0,13989.0,14118.0,14404.0,15088.0,15440.0,15903.0,15875.0,16073.0,16651.0,17473.0
32,Scotland,S12000035,Argyll and Bute,8493.0,8680.0,8923.0,9899.0,10323.0,10973.0,11192.0,11683.0,12451.0,13183.0,13930.0,14898.0,15373.0,15837.0,15828.0,16539.0,16573.0,16786.0,17625.0,18021.0,18281.0,19317.0,20314.0
33,Scotland,S12000013,Na h-Eileanan Siar,8653.0,8889.0,8913.0,9361.0,9954.0,10531.0,10795.0,11194.0,11819.0,11511.0,12705.0,13279.0,13699.0,14226.0,14442.0,14660.0,14892.0,15407.0,16713.0,16601.0,16898.0,18031.0,19318.0
34,Scotland,S12000023,Orkney Islands,7936.0,8601.0,9240.0,8936.0,9465.0,9788.0,9905.0,10961.0,11259.0,12263.0,13696.0,14633.0,15513.0,16214.0,17039.0,17608.0,17845.0,17836.0,17900.0,18093.0,18185.0,18956.0,19831.0
35,Scotland,S12000027,Shetland Islands,9338.0,9151.0,9455.0,10677.0,10537.0,10638.0,11060.0,11898.0,12412.0,13310.0,13815.0,15149.0,16684.0,16878.0,16833.0,17415.0,18140.0,19272.0,20226.0,20333.0,20028.0,20207.0,20960.0
36,Scotland,S12000041,Angus,10950.0,11059.0,11307.0,12286.0,12858.0,13383.0,13478.0,13826.0,13965.0,14312.0,15249.0,16209.0,15912.0,15910.0,16256.0,16716.0,17395.0,17990.0,18525.0,18607.0,18524.0,19339.0,19818.0
37,Scotland,S12000042,Dundee City,8238.0,8435.0,8867.0,9497.0,10086.0,10606.0,10765.0,11224.0,11277.0,11753.0,12495.0,13351.0,13505.0,13392.0,13754.0,14080.0,14794.0,15077.0,15429.0,15510.0,15642.0,16126.0,16597.0
38,Scotland,S12000005,Clackmannanshire,8850.0,9171.0,9542.0,10184.0,10571.0,11133.0,11492.0,12159.0,12430.0,12506.0,13459.0,13835.0,14196.0,14408.0,14625.0,15223.0,15895.0,16329.0,16882.0,17116.0,17466.0,18105.0,18560.0
