,GEO,GEO_name,2016,2017,2018,2019,2020,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,2019_rel,Country
119,NL34,Zeeland,33200.0,33900.0,36000.0,37200.0,36400.0,381568.0,382304.0,383032.0,383488.0,385400.0,0.8476443608216506,Netherlands
120,NL41,Noord-Brabant,41800.0,43800.0,45600.0,47500.0,47000.0,2512531.0,2528286.0,2544806.0,2562955.0,2573949.0,1.082341589758828,Netherlands
121,NL42,Limburg (NL),36700.0,38100.0,39600.0,41300.0,40500.0,1117546.0,1117198.0,1116137.0,1117201.0,1115872.0,0.9410675296218862,Netherlands
139,UKC1,Tees Valley and Durham,21485.2183,20577.0,21071.558399999998,21557.079899999997,20737.6722,1194437.0,1197992.0,1201543.0,,,0.753371723902039,United Kingdom
140,UKC2,Northumberland and Tyne and Wear,25158.0784,24747.12,24589.1328,25233.1952,24062.4801,1446249.0,1450223.0,1455437.0,,,0.8818437309489517,United Kingdom
141,UKD1,Cumbria,27347.966099999998,26567.699999999997,26826.8704,27743.549399999996,25969.176000000003,498641.0,498216.0,498083.0,,,0.9695749951105103,United Kingdom
142,UKD3,Greater Manchester,28275.419899999997,28530.78,29441.894399999997,30171.193799999997,29112.288300000004,2789735.0,2808080.0,2822003.0,,,1.0544157367663005,United Kingdom
143,UKD4,Lancashire,26117.7189,25448.219999999998,25079.3792,25659.0389,24353.8578,1487102.0,1490434.0,1495318.0,,,0.8967260157421636,United Kingdom
144,UKD6,Cheshire,39206.9769,38749.74,39526.9632,41062.0626,38929.3902,924261.0,927799.0,931347.0,,,1.435027240769073,United Kingdom
145,UKD7,Merseyside,24397.5186,23921.76,23892.169599999997,24760.408099999997,24056.9406,1541473.0,1547607.0,1553324.0,,,0.8653208793281417,United Kingdom
146,UKE1,East Yorkshire and Northern Lincolnshire,24259.234999999997,24206.76,24809.4048,25988.7604,24403.713300000003,929189.0,931065.0,932645.0,,,0.9082490446502935,United Kingdom
147,UKE2,North Yorkshire,28131.175799999997,28580.94,28549.5104,29138.439,27348.511500000004,818141.0,820874.0,824054.0,,,1.0183232665591413,United Kingdom
148,UKE3,South Yorkshire,22120.6076,21828.719999999998,21752.707199999997,22361.8239,21776.882400000002,1389426.0,1397266.0,1404971.0,,,0.7814957266608645,United Kingdom
149,UKE4,West Yorkshire,27069.0147,26722.739999999998,27787.0304,28181.687799999996,27106.9893,2301000.0,2313390.0,2324560.0,,,0.984886952168093,United Kingdom
150,UKF1,Derbyshire and Nottinghamshire,25093.704999999998,24431.339999999997,25057.9168,25855.7541,25024.137300000002,2187643.0,2199851.0,2210381.0,,,0.9036007719720988,United Kingdom
151,UKF2,"Leicestershire, Rutland and Northamptonshire",28248.0016,27565.199999999997,28395.8848,28913.7813,27728.521200000003,1812852.0,1828762.0,1843764.0,,,1.0104719824556359,United Kingdom
152,UKF3,Lincolnshire,21940.6005,22152.48,22494.8544,22953.087199999998,21749.184900000004,747996.0,752671.0,756920.0,,,0.8021590564656127,United Kingdom
153,UKG1,"Herefordshire, Worcestershire and Warwickshire",30003.9649,30801.659999999996,31390.4544,31559.3772,29309.494500000004,1338055.0,1344393.0,1352539.0,,,1.1029296415252747,United Kingdom
154,UKG2,Shropshire and Staffordshire,23886.1077,23600.28,24252.512,24624.0487,23477.5089,1613788.0,1619877.0,1626956.0,,,0.8605554233051186,United Kingdom
155,UKG3,West Midlands,27157.230099999997,26490.179999999997,26987.273599999997,27202.582599999998,26003.520900000003,2883905.0,2908821.0,2928377.0,,,0.9506694154781886,United Kingdom
156,UKH1,East Anglia,28639.0104,28448.699999999997,28558.547199999997,29534.104799999997,28478.5695,2493326.0,2509078.0,2521676.0,,,1.032150901248897,United Kingdom
157,UKH2,Bedfordshire and Hertfordshire,33294.160899999995,34044.96,34267.5456,34863.2984,32999.909400000004,1841673.0,1859787.0,1871847.0,,,1.2183942972962307,United Kingdom
158,UKH3,Essex,26027.1193,26514.12,27012.124799999998,27034.9276,25367.586300000003,1813609.0,1828948.0,1841887.0,,,0.9448102482367667,United Kingdom
159,UKI3,Inner London - West,197480.9018,194735.93999999997,200549.18399999998,202683.718,196437.31740000003,1163136.0,1173602.0,1190513.0,,,7.0833425837297534,United Kingdom
160,UKI4,Inner London - East,53140.2417,52580.219999999994,53199.641599999995,53823.9612,52151.06880000001,2367065.0,2402934.0,2430890.0,,,1.8810270511861145,United Kingdom
161,UKI5,Outer London - East and North East,23071.9034,21973.499999999996,22338.9696,23055.915599999997,21289.406400000003,1899556.0,1924106.0,1940638.0,,,0.8057526790403515,United Kingdom
162,UKI6,Outer London - South,28639.0104,27548.1,28040.0608,28603.060699999998,27082.615500000004,1295666.0,1308866.0,1316772.0,,,0.9996129925015337,United Kingdom
163,UKI7,Outer London - West and North West,39428.7075,37998.479999999996,38178.220799999996,39099.3814,36186.2298,2071842.0,2090315.0,2103443.0,,,1.366435922929493,United Kingdom
164,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",44521.3587,43558.259999999995,45054.096,46511.9678,45026.16390000001,2385514.0,2402507.0,2417428.0,,,1.6254892372302303,United Kingdom
165,UKJ2,"Surrey, East and West Sussex",33759.0799,33060.0,33490.3808,34280.9767,32786.08470000001,2871387.0,2892767.0,2909838.0,,,1.198043456411025,United Kingdom
166,UKJ3,Hampshire and Isle of Wight,32708.839799999998,32261.999999999996,32628.496,33934.4897,32046.007500000003,1973952.0,1985074.0,1993050.0,,,1.185934510778753,United Kingdom
167,UKJ4,Kent,26705.424199999998,26018.219999999998,26595.302399999997,27868.731799999998,26298.2223,1824794.0,1840563.0,1854717.0,,,0.9739498399841053,United Kingdom
168,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",33742.3905,33202.5,33590.915199999996,34565.9902,33131.749500000005,2474784.0,2496022.0,2516568.0,,,1.2080040407214423,United Kingdom
169,UKK2,Dorset and Somerset,25112.778599999998,25390.079999999998,25688.2336,26107.236599999997,24730.543800000003,1322286.0,1329868.0,1336003.0,,,0.9123895228342317,United Kingdom
170,UKK3,Cornwall and Isles of Scilly,21374.353,21922.199999999997,22063.3472,22209.8167,20522.7396,560526.0,564588.0,568612.0,,,0.776183415028642,United Kingdom
171,UKK4,Devon,24294.998,23937.719999999998,23895.558399999998,24412.803399999997,22838.250600000003,1180517.0,1187825.0,1195198.0,,,0.8531728725809268,United Kingdom
172,UKL1,West Wales and The Valleys,20572.0697,20245.26,20705.568,21253.065499999997,20194.8012,1960764.0,1963646.0,1968383.0,,,0.7427471006375937,United Kingdom
173,UKL2,East Wales,28716.4969,28051.979999999996,28973.110399999998,29738.6439,28458.627300000004,1158491.0,1162876.0,1168000.0,,,1.039299085283432,United Kingdom
174,UKM5,North Eastern Scotland,40692.3335,38845.5,39068.3456,39005.4946,37049.2839,491323.0,494624.0,495365.0,,,1.3631547892742966,United Kingdom
175,UKM6,Highlands and Islands,27294.3216,28008.659999999996,28151.8912,28667.8873,27129.147300000004,469420.0,470743.0,470990.0,,,1.0018785371682168,United Kingdom
176,UKM7,Eastern Scotland,31905.3644,31662.359999999997,32338.1888,32918.5004,31802.269500000002,1976392.0,1988307.0,1998699.0,,,1.1504279572957357,United Kingdom
177,UKM8,West Central Scotland,28807.0965,28851.12,29055.5712,29806.823599999996,28923.945300000003,1531216.0,1536415.0,1541998.0,,,1.0416818132949435,United Kingdom
178,UKM9,Southern Scotland,22628.442199999998,22717.92,22719.6448,23004.501399999997,22475.967300000004,946372.0,946837.0,947186.0,,,0.8039558677529821,United Kingdom
179,UKN0,Northern Ireland,25010.257999999998,24732.3,25214.9312,25976.465699999997,25520.4765,1866638.0,1875957.0,1885189.0,,,0.9078193723859225,United Kingdom
