Year,Source,Value
2012-01-01,NCES (including R&D Plant),0.008753570104868425
2013-01-01,NCES (including R&D Plant),0.007732219607013645
2014-01-01,NCES (including R&D Plant),0.007626869901985936
2015-01-01,NCES (including R&D Plant),0.007557462522390396
2016-01-01,NCES (including R&D Plant),0.007928757640285573
2017-01-01,NCES (including R&D Plant),0.006398974603852775
2018-01-01,NCES (including R&D Plant),0.006938716244071778
2019-01-01,NCES (including R&D Plant),0.006909026278357132
2020-01-01,NCES (including R&D Plant),0.007827841575002215
1960-01-01,AAAS,0.0366280139885883
1961-01-01,AAAS,0.0395881413101367
1962-01-01,AAAS,0.0383407701206412
1963-01-01,AAAS,0.0411838396492327
1964-01-01,AAAS,0.0434529017206183
1965-01-01,AAAS,0.0403388463089956
1966-01-01,AAAS,0.0370552147239264
1967-01-01,AAAS,0.0359753974701172
1968-01-01,AAAS,0.0321485411140584
1969-01-01,AAAS,0.0303951367781155
1970-01-01,AAAS,0.0292554851705436
1971-01-01,AAAS,0.0268704124994635
1972-01-01,AAAS,0.0249392155483109
1973-01-01,AAAS,0.0218889612284759
1974-01-01,AAAS,0.019996854863604
1975-01-01,AAAS,0.0183986743458381
1976-01-01,AAAS,0.0171345117891847
1977-01-01,AAAS,0.0156112950842193
1978-01-01,AAAS,0.0147133928871376
1979-01-01,AAAS,0.0132073094655303
1980-01-01,AAAS,0.0120043103523703
1981-01-01,AAAS,0.0106952171799487
1982-01-01,AAAS,0.0104372614420348
1983-01-01,AAAS,0.0104016523767776
1984-01-01,AAAS,0.0100059119088432
1985-01-01,AAAS,0.00991016550206857
1986-01-01,AAAS,0.00952041769304121
1987-01-01,AAAS,0.00898003486972256
1988-01-01,AAAS,0.00849814320345242
1989-01-01,AAAS,0.00801193991754083
1990-01-01,AAAS,0.00756312441893068
1991-01-01,AAAS,0.00703135643959391
1992-01-01,AAAS,0.00673279116216104
1993-01-01,AAAS,0.00632785983178099
1994-01-01,AAAS,0.00585956046984069
1995-01-01,AAAS,0.00562845716528122
1996-01-01,AAAS,0.00517767475829053
1997-01-01,AAAS,0.00481489219416098
1998-01-01,AAAS,0.00462328594330111
1999-01-01,AAAS,0.00445452142242598
2000-01-01,AAAS,0.00435022406888337
2001-01-01,AAAS,0.00474398481198558
2002-01-01,AAAS,0.00488276827509357
2003-01-01,AAAS,0.00480003747394492
2004-01-01,AAAS,0.00443762910964117
2005-01-01,AAAS,0.00423421978562954
2006-01-01,AAAS,0.00407539512424826
